Iteration	Posterior	Likelihood	Prior	rate_log_sd	root_freqs[1]	root_freqs[2]	tree_length
0	-1267.717	-1483.473	215.756	0.8657051	0.994221	0.00577935	3.31019
6	-1268.663	-1484.269	215.6062	0.7694035	0.98748	0.0125197	3.454621
12	-1255.134	-1470.683	215.5495	0.8261035	0.996215	0.00378509	3.454621
18	-1259.632	-1475.99	216.3576	0.975161	0.996665	0.0033349	2.886136
24	-1257.068	-1473.043	215.9753	1.042771	0.994034	0.00596617	3.075193
30	-1264.298	-1480.871	216.5728	0.885921	0.988014	0.0119862	2.809765
36	-1253.148	-1468.177	215.0297	0.8680234	0.988025	0.0119751	3.732206
42	-1252.145	-1468.959	216.8137	0.9750715	0.983073	0.0169266	2.607322
48	-1257.328	-1474.396	217.0688	1.192004	0.989504	0.0104959	2.311016
54	-1266.806	-1484.272	217.4664	1.241656	0.999809	0.000191365	2.020126
60	-1282.583	-1499.39	216.8076	0.9026746	0.755786	0.244214	2.65578
66	-1276.25	-1493.182	216.9318	0.9231682	0.640232	0.359768	2.566305
72	-1287.621	-1503.095	215.474	0.6880879	0.606431	0.393569	3.579097
78	-1287.504	-1502.884	215.3798	0.7822236	0.592037	0.407963	3.579097
84	-1278.423	-1494.366	215.9428	0.7992774	0.592037	0.407963	3.239163
90	-1263.423	-1479.471	216.0482	0.9174458	0.999542	0.000458407	3.106498
96	-1265.776	-1479.992	214.2158	1.027801	0.9989	0.0011003	4.107098
102	-1261.601	-1477.213	215.6122	0.9686857	0.998924	0.00107618	3.334251
108	-1256.451	-1472.07	215.6183	0.9625201	0.999067	0.0009325	3.334251
114	-1274.298	-1491.588	217.29	1.059195	0.986419	0.0135809	2.254432
120	-1261.459	-1477.789	216.33	0.9574297	0.998559	0.00144115	2.913556
126	-1267.983	-1483.09	215.1064	0.9006545	0.999128	0.000871949	3.668985
132	-1266.373	-1483.073	216.7	1.128472	0.977683	0.0223165	2.582725
138	-1266.559	-1484.461	217.9019	1.25856	0.977683	0.0223165	1.710811
144	-1275.717	-1493.857	218.1399	1.379198	0.98002	0.0199802	1.448167
150	-1265.028	-1481.771	216.7433	1.187465	0.952218	0.0477819	2.519112
156	-1265.033	-1480.798	215.7641	1.042835	0.969633	0.0303675	3.200772
162	-1255.739	-1471.589	215.85	0.9275988	0.999924	7.60824e-05	3.218139
168	-1258.899	-1474.417	215.5179	0.9403788	0.999861	0.000138779	3.40621
174	-1270.609	-1486.769	216.1597	1.003027	0.999794	0.000206195	2.988589
180	-1256.942	-1474.016	217.0735	1.148745	0.995943	0.004057	2.335538
186	-1255.878	-1472.933	217.0544	1.000559	0.994964	0.00503603	2.441352
192	-1254.534	-1471.852	217.3179	1.1749	0.98944	0.0105603	2.161558
198	-1274.364	-1490.29	215.9262	1.171012	0.991729	0.00827142	3.027904
204	-1255.624	-1472.694	217.0699	1.165882	0.991729	0.00827142	2.326941
210	-1260.784	-1477.831	217.0464	1.289874	0.989875	0.0101247	2.262694
216	-1258.25	-1474.833	216.583	1.197044	0.992581	0.00741946	2.612714
222	-1255.11	-1471.135	216.0247	1.080748	0.988838	0.0111625	3.022972
228	-1255.176	-1472.076	216.8999	1.091366	0.993764	0.00623555	2.4813
234	-1264.171	-1481.122	216.9516	1.209608	0.997417	0.00258334	2.374328
240	-1257.522	-1474.547	217.0246	1.136618	0.996862	0.0031383	2.374328
